Date,Close
2-Jan-2018,59.45
3-Jan-2018,60.21
4-Jan-2018,60.48
5-Jan-2018,61.46
8-Jan-2018,62.34
9-Jan-2018,62.64
10-Jan-2018,62.72
11-Jan-2018,63.83
12-Jan-2018,65.26
16-Jan-2018,65.24
17-Jan-2018,64.75
18-Jan-2018,64.67
19-Jan-2018,64.73
22-Jan-2018,66.37
23-Jan-2018,68.13
24-Jan-2018,67.88
25-Jan-2018,68.9
26-Jan-2018,70.1
29-Jan-2018,70.88
30-Jan-2018,71.89
31-Jan-2018,72.54
1-Feb-2018,69.5
2-Feb-2018,71.5
5-Feb-2018,69.5
6-Feb-2018,72.14
7-Feb-2018,70.84
8-Feb-2018,67.53
9-Feb-2018,66.98
12-Feb-2018,69.31
13-Feb-2018,70.73
14-Feb-2018,72.55
15-Feb-2018,73.09
16-Feb-2018,72.43
20-Feb-2018,73.42
21-Feb-2018,74.15
22-Feb-2018,74.27
23-Feb-2018,75
26-Feb-2018,76.1
27-Feb-2018,75.6
28-Feb-2018,75.62
1-Mar-2018,74.67
2-Mar-2018,75.01
5-Mar-2018,76.18
6-Mar-2018,76.88
7-Mar-2018,77.25
8-Mar-2018,77.59
9-Mar-2018,78.94
12-Mar-2018,79.92
13-Mar-2018,79.41
14-Mar-2018,79.55
15-Mar-2018,79.12
16-Mar-2018,78.58
19-Mar-2018,77.25
20-Mar-2018,79.33
21-Mar-2018,79.09
22-Mar-2018,77.25
23-Mar-2018,74.78
26-Mar-2018,77.79
27-Mar-2018,74.85
28-Mar-2018,71.57
29-Mar-2018,72.37
2-Apr-2018,68.6
3-Apr-2018,69.6
4-Apr-2018,70.53
5-Apr-2018,72.59
6-Apr-2018,70.26
9-Apr-2018,70.3
10-Apr-2018,71.81
11-Apr-2018,71.35
12-Apr-2018,72.43
13-Apr-2018,71.54
16-Apr-2018,72.08
17-Apr-2018,75.19
18-Apr-2018,76.39
19-Apr-2018,77.85
20-Apr-2018,76.37
23-Apr-2018,75.89
24-Apr-2018,73
25-Apr-2018,73.01
26-Apr-2018,75.9
27-Apr-2018,78.63
30-Apr-2018,78.31
1-May-2018,79.11
2-May-2018,78.48
3-May-2018,78.6
4-May-2018,79.05
7-May-2018,80.01
8-May-2018,79.62
9-May-2018,80.4
10-May-2018,80.45
11-May-2018,80.15
14-May-2018,80.08
15-May-2018,78.81
16-May-2018,79.36
17-May-2018,79.09
18-May-2018,78.72
21-May-2018,79.27
22-May-2018,79.07
23-May-2018,80.09
24-May-2018,80.15
25-May-2018,80.51
29-May-2018,80.64
30-May-2018,81.24
31-May-2018,81.48
1-Jun-2018,82.08
4-Jun-2018,83.26
5-Jun-2018,84.82
6-Jun-2018,84.79
7-Jun-2018,84.47
8-Jun-2018,84.2
11-Jun-2018,84.46
12-Jun-2018,84.94
13-Jun-2018,85.24
14-Jun-2018,86.19
