Date,Close
2-Jan-2018,85.95
3-Jan-2018,86.35
4-Jan-2018,87.11
5-Jan-2018,88.19
8-Jan-2018,88.28
9-Jan-2018,88.22
10-Jan-2018,87.82
11-Jan-2018,88.08
12-Jan-2018,89.6
16-Jan-2018,88.35
17-Jan-2018,90.14
18-Jan-2018,90.1
19-Jan-2018,90
22-Jan-2018,91.61
23-Jan-2018,91.9
24-Jan-2018,91.82
25-Jan-2018,92.33
26-Jan-2018,94.06
29-Jan-2018,93.92
30-Jan-2018,92.74
31-Jan-2018,95.01
1-Feb-2018,94.26
2-Feb-2018,91.78
5-Feb-2018,88
6-Feb-2018,91.33
7-Feb-2018,89.61
8-Feb-2018,85.01
9-Feb-2018,88.18
12-Feb-2018,89.13
13-Feb-2018,89.83
14-Feb-2018,90.81
15-Feb-2018,92.66
16-Feb-2018,92
20-Feb-2018,92.72
21-Feb-2018,91.49
22-Feb-2018,91.73
23-Feb-2018,94.06
26-Feb-2018,95.42
27-Feb-2018,94.2
28-Feb-2018,93.77
1-Mar-2018,92.85
2-Mar-2018,93.05
5-Mar-2018,93.64
6-Mar-2018,93.32
7-Mar-2018,93.86
8-Mar-2018,94.43
9-Mar-2018,96.54
12-Mar-2018,96.77
13-Mar-2018,94.41
14-Mar-2018,93.85
15-Mar-2018,94.18
16-Mar-2018,94.6
19-Mar-2018,92.89
20-Mar-2018,93.13
21-Mar-2018,92.48
22-Mar-2018,89.79
23-Mar-2018,87.18
26-Mar-2018,93.78
27-Mar-2018,89.47
28-Mar-2018,89.39
29-Mar-2018,91.27
2-Apr-2018,88.52
3-Apr-2018,89.71
4-Apr-2018,92.33
5-Apr-2018,92.38
6-Apr-2018,90.23
9-Apr-2018,90.77
10-Apr-2018,92.88
11-Apr-2018,91.86
12-Apr-2018,93.58
13-Apr-2018,93.08
16-Apr-2018,94.17
17-Apr-2018,96.07
18-Apr-2018,96.44
19-Apr-2018,96.11
20-Apr-2018,95
23-Apr-2018,95.35
24-Apr-2018,93.12
25-Apr-2018,92.31
26-Apr-2018,94.26
27-Apr-2018,95.82
30-Apr-2018,93.52
1-May-2018,95
2-May-2018,93.51
3-May-2018,94.07
4-May-2018,95.16
7-May-2018,96.22
8-May-2018,95.81
9-May-2018,96.94
10-May-2018,97.91
11-May-2018,97.7
14-May-2018,98.03
15-May-2018,97.32
16-May-2018,97.15
17-May-2018,96.18
18-May-2018,96.36
21-May-2018,97.6
22-May-2018,97.5
23-May-2018,98.66
24-May-2018,98.31
25-May-2018,98.36
29-May-2018,98.01
30-May-2018,98.95
31-May-2018,98.84
1-Jun-2018,100.79
4-Jun-2018,101.67
5-Jun-2018,102.19
6-Jun-2018,102.49
7-Jun-2018,100.88
8-Jun-2018,101.63
11-Jun-2018,101.05
12-Jun-2018,101.31
13-Jun-2018,100.85
14-Jun-2018,101.42
15-Jun-2018,100.13
18-Jun-2018,100.86
19-Jun-2018,100.86
20-Jun-2018,101.87
21-Jun-2018,101.14
22-Jun-2018,100.41
25-Jun-2018,98.39
26-Jun-2018,99.08
27-Jun-2018,97.54
28-Jun-2018,98.63
29-Jun-2018,98.61
2-Jul-2018,100.01
3-Jul-2018,99.05
5-Jul-2018,99.76
6-Jul-2018,101.16
9-Jul-2018,101.85
10-Jul-2018,102.12
11-Jul-2018,101.98
12-Jul-2018,104.19
13-Jul-2018,105.43
16-Jul-2018,104.91
17-Jul-2018,105.95
18-Jul-2018,105.12
19-Jul-2018,104.4
20-Jul-2018,106.27
23-Jul-2018,107.97
24-Jul-2018,107.66
25-Jul-2018,110.83
